name,image,cost_price,starting_price,diff,averaged,minimum_increment,min_bid_gift
Mike Tyson Baddest Man On The Planet,https://d2q2n48wx9o212.cloudfront.net/media/auction_images/e23a14ff6ba84eb388ccf5c1e582b779.jpeg,825,1500,675,y,100,675
Michael Schumacher Autographed Racing Gloves,https://d2q2n48wx9o212.cloudfront.net/media/auction_images/3dc12c1e68e749bebc51632586c286de.jpeg,825,1500,675,y,100,675
Private Villa Koh Phangan Thailand - 7 nights for 8 people,https://d2q2n48wx9o212.cloudfront.net/media/auction_images/8765af2933b34e7391e3d8dfaf25a17a.jpg,5500,6000,500,n,200,500
"Ensconce Yourself in Spanish Exclusivity - Barcelona, Spain",https://d2q2n48wx9o212.cloudfront.net/media/auction_images/c0d2a8b82d0e4a7280b1113b1adb7bf9.png,6930,7600,670,n,100,670
2023 Cricket World Cup WINNERS Signed Jersey,https://d2q2n48wx9o212.cloudfront.net/media/auction_images/b1b2fb3a36a242839446fc05ca177b96.jpeg,1825,2500,675,y,100,675
Imagine - John Lennon,https://d2q2n48wx9o212.cloudfront.net/media/auction_images/3aa0b667a9534234bd4112459147bb09.jpg,1325,2000,675,y,200,675
Liverpool Madrid Champions,https://d2q2n48wx9o212.cloudfront.net/media/auction_images/5cfe03f1e0c14d03847cc61908ddab93.png,1700,2000,300,n,100,300
Muhammad Ali over Sonny Liston hand signed photo of the century,https://d2q2n48wx9o212.cloudfront.net/media/auction_images/0321c00328ee49e890dfc338d57fa5ce.png,1200,1400,200,n,100,200
The Beatles Get Back Autographed,https://d2q2n48wx9o212.cloudfront.net/media/auction_images/6bdf914f51324be8be1012b8cddf7d67.png,9000,10000,1000,n,250,1000
A Star Is Born Lady Gaga,https://d2q2n48wx9o212.cloudfront.net/media/auction_images/1f2ced3de46a4d078336ecbe078e0350.png,525,1200,675,y,100,675
Tom Brady Tampa Bay Buccaneers,https://d2q2n48wx9o212.cloudfront.net/media/auction_images/a7141fe72cf64e768945c0f04489cc4c.png,2200,2500,300,n,200,300
Roger Federer the GOAT,https://d2q2n48wx9o212.cloudfront.net/media/auction_images/61d4dec2478b41bab6ac60526d5f91f7.png,1500,1800,300,n,100,300
Dennis Rodman Signed Chicago Bulls Jersey,https://d2q2n48wx9o212.cloudfront.net/media/auction_images/1609b1668a06449f9136d5331999b022.png,1400,1600,200,n,100,200
